Title,Author,Duration
Monster Hunter Fantom,"By: Larry Correia, Martin Fajkus, Jakub Mařík",Length: 18 hrs and 1 min
The Path of Ascension 6,By: C. Mantis,Length: 23 hrs and 25 mins
Her Dying Secret,By: Lisa Regan,Length: 10 hrs and 40 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,By: Casualfarmer,Length: 30 hrs and 8 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Noble Bearings,By: Bruce Sentar,Length: 14 hrs and 20 mins
The Secret Fiancée,By: Catharina Maura,Length: 10 hrs and 35 mins
Onyx Storm,By: Rebecca Yarros,Length: 14 hrs and 15 mins
World Seal,By: David North,Length: 14 hrs and 31 mins
Heavy Is the Crown,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 5 mins
Sweet Nightmare,By: Tracy Wolff,Length: 15 hrs and 21 mins
A Queen This Fierce and Deadly,By: Stacia Stark,Length: 11 hrs and 7 mins
High Road Leadership,By: John Maxwell,Length: 7 hrs and 10 mins
Promise Me This,By: Karla Sorensen,Length: 11 hrs and 12 mins
Well and Truly Pucked,By: Lauren Blakely,Length: 8 hrs and 47 mins
The Geek and the Sheikh,By: S.E. Smith,Length: 7 hrs and 13 mins
The Gravity Collection Box Set: Three Complete Novels,By: Sarina Bowen,Length: 21 hrs and 39 mins
Phantom Orbit,By: David Ignatius,Length: 9 hrs and 56 mins
Will Leave the Galaxy for Good,By: Yahtzee Croshaw,Length: 9 hrs and 50 mins
The Phantom Chase,By: Cap Daniels,Length: 8 hrs and 18 mins
